id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation
C40,NGC 3626,GAL,11.33333,18.35000,10.9,3,Leo
C41,Mel 25 (Hyades),OC,4.45000,15.90000,0.5,330,Tau
C42,NGC 7006,GC,21.02500,16.18330,10.6,3,Del
C43,NGC 7814,GAL,0.05167,16.15000,10.5,5,Peg
C44,NGC 7479,GAL,23.08167,12.31670,10.9,4,Peg
C45,NGC 5248,GAL,13.62500,8.88330,10.2,6,Boo
C46,NGC 2261 (Hubble's Variable Nebula),RN,6.65333,8.73330,9.0,2,Mon
C47,NGC 6934,GC,20.56833,7.40000,8.9,6,Del
C48,NGC 2775,GAL,9.17167,7.03330,10.3,4,Cnc
C49,NGC 2237 (Rosette Nebula),EN,6.53833,4.96670,9.0,80,Mon
C50,NGC 2244,OC,6.54000,4.90000,4.8,24,Mon
C51,IC 1613,GAL,1.08167,2.11670,9.3,16,Cet
C52,NGC 4697,GAL,12.80833,-5.80000,9.2,7,Vir
C53,NGC 3115 (Spindle Galaxy),GAL,10.08667,-7.71670,9.2,7,Sex
C54,NGC 2506,OC,8.00167,-10.78330,7.6,7,Mon
C55,NGC 7009 (Saturn Nebula),PN,21.07000,-11.35000,8.0,0.5,Aqr
C56,NGC 246,PN,0.78333,-11.86670,8.0,4,Cet
C57,NGC 6822 (Barnard's Galaxy),GAL,19.74833,-14.80000,9.0,15,Sgr
C58,NGC 2360,OC,7.29667,-15.63330,7.2,13,CMa
C59,NGC 3242 (Ghost of Jupiter),PN,10.41333,-18.63330,7.8,0.7,Hya
C60,NGC 4038 (Antennae Galaxies),GAL,12.03167,-18.86670,10.3,5,Crv
C61,NGC 4039 (Antennae Galaxies),GAL,12.03167,-18.91670,10.3,3,Crv
C62,NGC 247,GAL,0.78500,-20.76670,8.9,21,Cet
C63,NGC 7293 (Helix Nebula),PN,22.49333,-20.83330,7.3,18,Aqr
C64,NGC 2362,OC,7.31333,-24.95000,4.1,8,CMa
C65,NGC 253 (Sculptor Galaxy),GAL,0.79333,-25.28330,7.1,27,Scl
C66,NGC 5694,GC,14.66000,-26.53330,10.2,4,Hya
C67,NGC 1097,GAL,2.77167,-30.28330,9.3,9,For
C68,NGC 6723,GC,18.99333,-36.63330,6.8,13,Sgr
C69,NGC 6302 (Bug Nebula),PN,17.22833,-37.10000,9.6,1.5,Sco
C70,NGC 300,GAL,0.91500,-37.68330,8.1,22,Scl
C71,NGC 2477,OC,7.86833,-38.55000,5.8,27,Pup
C72,NGC 55,GAL,0.25000,-39.18330,7.9,32,Pha
C73,NGC 1851,GC,5.24167,-40.05000,7.1,12,Col
C74,NGC 3132 (Eight-Burst Nebula),PN,10.12500,-40.43330,8.2,1,Vel
C75,NGC 6124,OC,16.42167,-40.66670,5.8,29,Sco
C76,NGC 6231,OC,16.90167,-41.81670,2.6,15,Sco
C77,NGC 5128 (Centaurus A),GAL,13.42500,-43.01670,6.7,26,Cen
C78,NGC 6541,GC,18.13333,-43.71670,6.3,15,CrA
C79,NGC 3201,GC,10.29333,-46.41670,6.7,20,Vel
C80,NGC 5139 (Omega Centauri),GC,13.44667,-47.48330,3.7,55,Cen
C81,NGC 6352,GC,17.42000,-48.41670,8.1,9,Ara
C82,NGC 6193,OC,16.68833,-48.76670,5.2,15,Ara
C83,NGC 4945,GAL,13.09000,-49.46670,8.6,20,Cen
C84,NGC 5286,GC,13.77333,-51.36670,7.4,11,Cen
C85,IC 2391 (Omicron Velorum Cluster),OC,8.67000,-53.03330,2.5,50,Vel
C86,NGC 6397,GC,17.67833,-53.66670,5.3,31,Ara
C87,NGC 1261,GC,3.20333,-55.21670,8.3,7,Hor
C88,NGC 5823,OC,15.09000,-55.60000,7.9,10,Cir
C89,NGC 6087 (S Normae Cluster),OC,16.31500,-57.93330,5.4,12,Nor
C90,NGC 2867,PN,9.35667,-58.30000,9.7,0.2,Car
C91,NGC 3532 (Wishing Well Cluster),OC,11.10667,-58.66670,3.0,55,Car
C92,NGC 3372 (Eta Carinae Nebula),EN,10.75000,-59.68330,3.0,120,Car
C93,NGC 6752 (Great Peacock Globular),GC,19.18167,-59.98330,5.4,29,Pav
C94,NGC 4755 (Jewel Box),OC,12.89333,-60.33330,4.2,10,Cru
C95,NGC 6025,OC,16.05500,-60.43330,5.1,12,TrA
C96,NGC 2516 (Southern Beehive),OC,7.96667,-60.86670,3.8,30,Car
C97,NGC 3766 (Pearl Cluster),OC,11.60167,-61.40000,5.3,12,Cen
C98,NGC 4609,OC,12.70500,-62.98330,6.9,5,Cru
C99,Coalsack Nebula,DN,12.83333,-63.00000,NaN,420,Cru
C100,IC 2944 (Lambda Centauri Nebula),EN,11.60000,-63.01670,4.5,75,Cen
C101,NGC 6744,GAL,19.16333,-63.85000,8.3,20,Pav
C102,IC 2602 (Southern Pleiades),OC,10.71500,-64.40000,1.9,100,Car
C103,NGC 1763,EN,4.94500,-66.41670,NaN,5,Dor
C104,NGC 362,GC,1.05333,-70.85000,6.4,14,Tuc
C105,NGC 4833,GC,12.98833,-70.88330,8.4,14,Mus
C106,NGC 104 (47 Tucanae),GC,0.40167,-72.01670,4.0,50,Tuc
C107,NGC 6101,GC,16.43000,-72.20000,9.2,5,Aps
C108,NGC 4372,GC,12.42167,-72.66670,7.2,22,Mus
C109,NGC 3195,PN,10.15833,-80.86670,11.6,0.7,Cha
